"Core Project Number","Affiliation","Pub Year","Authors","Country","ISSN","Journal Issue","Journal (Link to PubMed abstract)","Journal Title ABBR","Journal Volume","Language","Page Number","PMC ID","PMID","PUB Date","Title (Link to full-text in PubMed Central)","Related Publications in PubMed","Related Publications in Google Scholar","Articles Citing from PubMed Central","Articles Citing from Google Scholar","Relative Citation Ratio",
"R37MH066078","Department of Psychological and Brain Sciences, Washington University in St. Louis, St. Louis, USA. jetzel@wustl.edu.","2022","Etzel, Joset A; Brough, Rachel E; Freund, Michael C; Kizhner, Alexander; Lin, Yanli; Singh, Matthew F; Tang, Rongxiang; Tay, Allison; Wang, Anxu; Braver, Todd S","England","2052-4463","1","<a href='https://pubmed.ncbi.nlm.nih.gov/35351911'>Scientific data</a>","Sci Data","9","eng","114","8964804","35351911","2022 Mar 29","<a href='https://www.ncbi.nlm.nih.gov/pmc/articles/8964804'>The Dual Mechanisms of Cognitive Control dataset, a theoretically-guided within-subject task fMRI battery.</a>","<a href='https://pubmed.ncbi.nlm.nih.gov/?Db=pubmed&DbFrom=pubmed&Cmd=Link&LinkName=pubmed_pubmed&IdsFromResult=35351911&ordinalpos=1&itool=EntrezSystem2.PEntrez.Pubmed.Pubmed_ResultsPanel.Pubmed_DiscoveryPanel.Pubmed_Discovery_RA&log$=relatedarticles&logdbfrom=pubmed'>Related, PubMed</a>","<a href='https://scholar.google.com/scholar?q=related:https://pmc.ncbi.nlm.nih.gov/articles/PMC8964804/'>Related, Google Scholar</a>","<a href='https://pubmed.ncbi.nlm.nih.gov/?linkname=pubmed_pubmed_citedin&from_uid=35351911'>Cited By, PMID</a>","<a href='https://scholar.google.com/scholar?hl=en&lr=&cites=https://pmc.ncbi.nlm.nih.gov/articles/PMC8964804/'>Cited By, Google</a>",1.33
"T32MH125786","SPARED Center, Department of Psychiatry, McLean Hospital, Harvard Medical School, Boston, MA, USA. kressler@mclean.harvard.edu.","2022","Ressler, Kerry J; Berretta, Sabina; Bolshakov, Vadim Y; Rosso, Isabelle M; Meloni, Edward G; Rauch, Scott L; Carlezon Jr, William A","England","1759-4766","5","<a href='https://pubmed.ncbi.nlm.nih.gov/35352034'>Nature reviews. Neurology</a>","Nat Rev Neurol","18","eng","273-288","9682920","35352034","2022 May","<a href='https://www.ncbi.nlm.nih.gov/pmc/articles/9682920'>Post-traumatic stress disorder: clinical and translational neuroscience from cells to circuits.</a>","<a href='https://pubmed.ncbi.nlm.nih.gov/?Db=pubmed&DbFrom=pubmed&Cmd=Link&LinkName=pubmed_pubmed&IdsFromResult=35352034&ordinalpos=1&itool=EntrezSystem2.PEntrez.Pubmed.Pubmed_ResultsPanel.Pubmed_DiscoveryPanel.Pubmed_Discovery_RA&log$=relatedarticles&logdbfrom=pubmed'>Related, PubMed</a>","<a href='https://scholar.google.com/scholar?q=related:https://pmc.ncbi.nlm.nih.gov/articles/PMC9682920/'>Related, Google Scholar</a>","<a href='https://pubmed.ncbi.nlm.nih.gov/?linkname=pubmed_pubmed_citedin&from_uid=35352034'>Cited By, PMID</a>","<a href='https://scholar.google.com/scholar?hl=en&lr=&cites=https://pmc.ncbi.nlm.nih.gov/articles/PMC9682920/'>Cited By, Google</a>",20.7
"T32MH019139","HIV Center for Clinical and Behavioral Studies, Columbia University and New York State Psychiatric Institute, New York, New York, USA.","2022","Ertl, Melissa M; Pazienza, Rena; Cannon, Margeaux; Cabrera Tineo, Yajaira A; Fresquez, Cara L; McDonough, Alicia K; Bozek, Dana M; Ozmat, Evan E; Ladouceur, Guy M; Planz, Emily K; Martin, Jessica L","England","1532-2491","6","<a href='https://pubmed.ncbi.nlm.nih.gov/35321617'>Substance use & misuse</a>","Subst Use Misuse","57","eng","886-896","9019863","35321617","2022","<a href='https://www.ncbi.nlm.nih.gov/pmc/articles/9019863'>Associations between Impulsivity and Exercise Addiction, Disordered Eating, and Alcohol Use Behaviors: A Latent Profile Analysis.</a>","<a href='https://pubmed.ncbi.nlm.nih.gov/?Db=pubmed&DbFrom=pubmed&Cmd=Link&LinkName=pubmed_pubmed&IdsFromResult=35321617&ordinalpos=1&itool=EntrezSystem2.PEntrez.Pubmed.Pubmed_ResultsPanel.Pubmed_DiscoveryPanel.Pubmed_Discovery_RA&log$=relatedarticles&logdbfrom=pubmed'>Related, PubMed</a>","<a href='https://scholar.google.com/scholar?q=related:https://pmc.ncbi.nlm.nih.gov/articles/PMC9019863/'>Related, Google Scholar</a>","<a href='https://pubmed.ncbi.nlm.nih.gov/?linkname=pubmed_pubmed_citedin&from_uid=35321617'>Cited By, PMID</a>","<a href='https://scholar.google.com/scholar?hl=en&lr=&cites=https://pmc.ncbi.nlm.nih.gov/articles/PMC9019863/'>Cited By, Google</a>",0.43
"ZIAMH002793","Department of Pharmacy, University of Salerno, 84084 Fisciano (SA), Italy.","2022","Viviano, Monica; Barresi, Elisabetta; Siméon, Fabrice G; Costa, Barbara; Taliani, Sabrina; Da Settimo, Federico; Pike, Victor W; Castellano, Sabrina","United Arab Emirates","1875-533X","28","<a href='https://pubmed.ncbi.nlm.nih.gov/35352645'>Current medicinal chemistry</a>","Curr Med Chem","29","eng","4862-4890","10080361","35352645","2022 Aug 06","<a href='https://www.ncbi.nlm.nih.gov/pmc/articles/10080361'>Essential Principles and Recent Progress in the Development of TSPO PET Ligands for Neuroinflammation Imaging.</a>","<a href='https://pubmed.ncbi.nlm.nih.gov/?Db=pubmed&DbFrom=pubmed&Cmd=Link&LinkName=pubmed_pubmed&IdsFromResult=35352645&ordinalpos=1&itool=EntrezSystem2.PEntrez.Pubmed.Pubmed_ResultsPanel.Pubmed_DiscoveryPanel.Pubmed_Discovery_RA&log$=relatedarticles&logdbfrom=pubmed'>Related, PubMed</a>","<a href='https://scholar.google.com/scholar?q=related:https://pmc.ncbi.nlm.nih.gov/articles/PMC10080361/'>Related, Google Scholar</a>","<a href='https://pubmed.ncbi.nlm.nih.gov/?linkname=pubmed_pubmed_citedin&from_uid=35352645'>Cited By, PMID</a>","<a href='https://scholar.google.com/scholar?hl=en&lr=&cites=https://pmc.ncbi.nlm.nih.gov/articles/PMC10080361/'>Cited By, Google</a>",2.04
"R01MH054137","Drug Discovery Biology, Monash Institute of Pharmaceutical Sciences, Monash University, Parkville, VIC, 3052, Australia.","2022","Keen, Alastair C; Pedersen, Maria Hauge; Lemel, Laura; Scott, Daniel J; Canals, Meritxell; Littler, Dene R; Beddoe, Travis; Ono, Yuki; Shi, Lei; Inoue, Asuka; Javitch, Jonathan A; Lane, J Robert","England","2399-3642","1","<a href='https://pubmed.ncbi.nlm.nih.gov/35322196'>Communications biology</a>","Commun Biol","5","eng","256","8943041","35322196","2022 Mar 23","<a href='https://www.ncbi.nlm.nih.gov/pmc/articles/8943041'>OZITX, a pertussis toxin-like protein for occluding inhibitory G protein signalling including Gαz.</a>","<a href='https://pubmed.ncbi.nlm.nih.gov/?Db=pubmed&DbFrom=pubmed&Cmd=Link&LinkName=pubmed_pubmed&IdsFromResult=35322196&ordinalpos=1&itool=EntrezSystem2.PEntrez.Pubmed.Pubmed_ResultsPanel.Pubmed_DiscoveryPanel.Pubmed_Discovery_RA&log$=relatedarticles&logdbfrom=pubmed'>Related, PubMed</a>","<a href='https://scholar.google.com/scholar?q=related:https://pmc.ncbi.nlm.nih.gov/articles/PMC8943041/'>Related, Google Scholar</a>","<a href='https://pubmed.ncbi.nlm.nih.gov/?linkname=pubmed_pubmed_citedin&from_uid=35322196'>Cited By, PMID</a>","<a href='https://scholar.google.com/scholar?hl=en&lr=&cites=https://pmc.ncbi.nlm.nih.gov/articles/PMC8943041/'>Cited By, Google</a>",1.14
"R00MH120327","Department of Pediatrics, University of California, Irvine, Irvine, CA, USA; Department of Anatomy/Neurobiology, University of California, Irvine, Irvine, CA, USA. Electronic address: jbolton@gsu.edu.","2022","Bolton, Jessica L; Short, Annabel K; Othy, Shivashankar; Kooiker, Cassandra L; Shao, Manlin; Gunn, Benjamin G; Beck, Jaclyn; Bai, Xinglong; Law, Stephanie M; Savage, Julie C; Lambert, Jeremy J; Belelli, Delia; Tremblay, Marie-Ève; Cahalan, Michael D; Baram, Tallie Z","United States","2211-1247","13","<a href='https://pubmed.ncbi.nlm.nih.gov/35354026'>Cell reports</a>","Cell Rep","38","eng","110600","9014810","35354026","2022 Mar 29","<a href='https://www.ncbi.nlm.nih.gov/pmc/articles/9014810'>Early stress-induced impaired microglial pruning of excitatory synapses on immature CRH-expressing neurons provokes aberrant adult stress responses.</a>","<a href='https://pubmed.ncbi.nlm.nih.gov/?Db=pubmed&DbFrom=pubmed&Cmd=Link&LinkName=pubmed_pubmed&IdsFromResult=35354026&ordinalpos=1&itool=EntrezSystem2.PEntrez.Pubmed.Pubmed_ResultsPanel.Pubmed_DiscoveryPanel.Pubmed_Discovery_RA&log$=relatedarticles&logdbfrom=pubmed'>Related, PubMed</a>","<a href='https://scholar.google.com/scholar?q=related:https://pmc.ncbi.nlm.nih.gov/articles/PMC9014810/'>Related, Google Scholar</a>","<a href='https://pubmed.ncbi.nlm.nih.gov/?linkname=pubmed_pubmed_citedin&from_uid=35354026'>Cited By, PMID</a>","<a href='https://scholar.google.com/scholar?hl=en&lr=&cites=https://pmc.ncbi.nlm.nih.gov/articles/PMC9014810/'>Cited By, Google</a>",10.46
"R01MH120174","Penn Lifespan Informatics and Neuroimaging Center (PennLINC), University of Pennsylvania, Richards Building, 5th Floor, Suite 5A, 3700 Hamilton Walk, Philadelphia, PA 19104, USA; Department of Psychiatry, University of Pennsylvania, Philadelphia, PA 19104, USA.","2022","Baller, Erica B; Valcarcel, Alessandra M; Adebimpe, Azeez; Alexander-Bloch, Aaron; Cui, Zaixu; Gur, Ruben C; Gur, Raquel E; Larsen, Bart L; Linn, Kristin A; O'Donnell, Carly M; Pines, Adam R; Raznahan, Armin; Roalf, David R; Sydnor, Valerie J; Tapera, Tinashe M; Tisdall, M Dylan; Vandekar, Simon; Xia, Cedric H; Detre, John A; Shinohara, Russell T; Satterthwaite, Theodore D","United States","2211-1247","13","<a href='https://pubmed.ncbi.nlm.nih.gov/35354053'>Cell reports</a>","Cell Rep","38","eng","110576","9006592","35354053","2022 Mar 29","<a href='https://www.ncbi.nlm.nih.gov/pmc/articles/9006592'>Developmental coupling of cerebral blood flow and fMRI fluctuations in youth.</a>","<a href='https://pubmed.ncbi.nlm.nih.gov/?Db=pubmed&DbFrom=pubmed&Cmd=Link&LinkName=pubmed_pubmed&IdsFromResult=35354053&ordinalpos=1&itool=EntrezSystem2.PEntrez.Pubmed.Pubmed_ResultsPanel.Pubmed_DiscoveryPanel.Pubmed_Discovery_RA&log$=relatedarticles&logdbfrom=pubmed'>Related, PubMed</a>","<a href='https://scholar.google.com/scholar?q=related:https://pmc.ncbi.nlm.nih.gov/articles/PMC9006592/'>Related, Google Scholar</a>","<a href='https://pubmed.ncbi.nlm.nih.gov/?linkname=pubmed_pubmed_citedin&from_uid=35354053'>Cited By, PMID</a>","<a href='https://scholar.google.com/scholar?hl=en&lr=&cites=https://pmc.ncbi.nlm.nih.gov/articles/PMC9006592/'>Cited By, Google</a>",4.53
"R01MH124655","Department of Economics, Carl H. Lindner College of Business (Mills, Suresh, Chang), and Department of Psychiatry and Behavioral Neuroscience, College of Medicine (Strawn), University of Cincinnati, Cincinnati; Department of Psychiatry, University of Texas Southwestern Medical Center, Dallas (Mayes, Trivedi); Department of Psychiatry and Psychology, Mayo Clinic, Rochester, Minnesota (Croarkin); Department of Pediatrics, Division of Clinical Pharmacology, Cincinnati Children's Hospital Medical Center, Cincinnati (Strawn).","2022","Mills, Jeffrey A; Suresh, Vikram; Chang, Lenisa; Mayes, Taryn; Croarkin, Paul E; Trivedi, Madhukar H; Strawn, Jeffrey R","United States","1557-9700","9","<a href='https://pubmed.ncbi.nlm.nih.gov/35354325'>Psychiatric services (Washington, D.C.)</a>","Psychiatr Serv","73","eng","965-969","9629028","35354325","2022 Sep 01","<a href='https://www.ncbi.nlm.nih.gov/pmc/articles/9629028'>Socioeconomic Predictors of Treatment Outcomes Among Adults With Major Depressive Disorder.</a>","<a href='https://pubmed.ncbi.nlm.nih.gov/?Db=pubmed&DbFrom=pubmed&Cmd=Link&LinkName=pubmed_pubmed&IdsFromResult=35354325&ordinalpos=1&itool=EntrezSystem2.PEntrez.Pubmed.Pubmed_ResultsPanel.Pubmed_DiscoveryPanel.Pubmed_Discovery_RA&log$=relatedarticles&logdbfrom=pubmed'>Related, PubMed</a>","<a href='https://scholar.google.com/scholar?q=related:https://pmc.ncbi.nlm.nih.gov/articles/PMC9629028/'>Related, Google Scholar</a>","<a href='https://pubmed.ncbi.nlm.nih.gov/?linkname=pubmed_pubmed_citedin&from_uid=35354325'>Cited By, PMID</a>","<a href='https://scholar.google.com/scholar?hl=en&lr=&cites=https://pmc.ncbi.nlm.nih.gov/articles/PMC9629028/'>Cited By, Google</a>",1.35
"K23MH128582","Department of Psychology, The City College of New York, New York, New York, USA.","2022","Wojcik, Hailey; Breslow, Aaron S; Fisher, Marla R; Rodgers, Caryn R R; Kubiszewski, Patryk; Gabbay, Vilma","United States","2325-8306","5","<a href='https://pubmed.ncbi.nlm.nih.gov/35587793'>LGBT health</a>","LGBT Health","9","eng","359-367","9291721","35587793","2022 Jul","<a href='https://www.ncbi.nlm.nih.gov/pmc/articles/9291721'>Mental Health Disparities Among Sexual and Gender Minority Frontline Health Care Workers During the Height of the COVID-19 Pandemic.</a>","<a href='https://pubmed.ncbi.nlm.nih.gov/?Db=pubmed&DbFrom=pubmed&Cmd=Link&LinkName=pubmed_pubmed&IdsFromResult=35587793&ordinalpos=1&itool=EntrezSystem2.PEntrez.Pubmed.Pubmed_ResultsPanel.Pubmed_DiscoveryPanel.Pubmed_Discovery_RA&log$=relatedarticles&logdbfrom=pubmed'>Related, PubMed</a>","<a href='https://scholar.google.com/scholar?q=related:https://pmc.ncbi.nlm.nih.gov/articles/PMC9291721/'>Related, Google Scholar</a>","<a href='https://pubmed.ncbi.nlm.nih.gov/?linkname=pubmed_pubmed_citedin&from_uid=35587793'>Cited By, PMID</a>","<a href='https://scholar.google.com/scholar?hl=en&lr=&cites=https://pmc.ncbi.nlm.nih.gov/articles/PMC9291721/'>Cited By, Google</a>",0.45
"R01MH126821","Department of Psychology, The City College of New York, New York, New York, USA.","2022","Wojcik, Hailey; Breslow, Aaron S; Fisher, Marla R; Rodgers, Caryn R R; Kubiszewski, Patryk; Gabbay, Vilma","United States","2325-8306","5","<a href='https://pubmed.ncbi.nlm.nih.gov/35587793'>LGBT health</a>","LGBT Health","9","eng","359-367","9291721","35587793","2022 Jul","<a href='https://www.ncbi.nlm.nih.gov/pmc/articles/9291721'>Mental Health Disparities Among Sexual and Gender Minority Frontline Health Care Workers During the Height of the COVID-19 Pandemic.</a>","<a href='https://pubmed.ncbi.nlm.nih.gov/?Db=pubmed&DbFrom=pubmed&Cmd=Link&LinkName=pubmed_pubmed&IdsFromResult=35587793&ordinalpos=1&itool=EntrezSystem2.PEntrez.Pubmed.Pubmed_ResultsPanel.Pubmed_DiscoveryPanel.Pubmed_Discovery_RA&log$=relatedarticles&logdbfrom=pubmed'>Related, PubMed</a>","<a href='https://scholar.google.com/scholar?q=related:https://pmc.ncbi.nlm.nih.gov/articles/PMC9291721/'>Related, Google Scholar</a>","<a href='https://pubmed.ncbi.nlm.nih.gov/?linkname=pubmed_pubmed_citedin&from_uid=35587793'>Cited By, PMID</a>","<a href='https://scholar.google.com/scholar?hl=en&lr=&cites=https://pmc.ncbi.nlm.nih.gov/articles/PMC9291721/'>Cited By, Google</a>",0.45
"R01MH125244","Department of Biomedical Data Science, Stanford University School of Medicine, Stanford, CA, USA; Genomic Medicine Center, Children's Mercy Research Institute and Children's Mercy Kansas City, Kansas City, MO, USA. Electronic address: csmail@cmh.edu.","2022","Smail, Craig; Ferraro, Nicole M; Hui, Qin; Durrant, Matthew G; Aguirre, Matthew; Tanigawa, Yosuke; Keever-Keigher, Marissa R; Rao, Abhiram S; Justesen, Johanne M; Li, Xin; Gloudemans, Michael J; Assimes, Themistocles L; Kooperberg, Charles; Reiner, Alexander P; Huang, Jie; O'Donnell, Christopher J; Sun, Yan V; Million Veteran Program; Rivas, Manuel A; Montgomery, Stephen B","United States","1537-6605","6","<a href='https://pubmed.ncbi.nlm.nih.gov/35588732'>American journal of human genetics</a>","Am J Hum Genet","109","eng","1055-1064","9247823","35588732","2022 Jun 02","<a href='https://www.ncbi.nlm.nih.gov/pmc/articles/9247823'>Integration of rare expression outlier-associated variants improves polygenic risk prediction.</a>","<a href='https://pubmed.ncbi.nlm.nih.gov/?Db=pubmed&DbFrom=pubmed&Cmd=Link&LinkName=pubmed_pubmed&IdsFromResult=35588732&ordinalpos=1&itool=EntrezSystem2.PEntrez.Pubmed.Pubmed_ResultsPanel.Pubmed_DiscoveryPanel.Pubmed_Discovery_RA&log$=relatedarticles&logdbfrom=pubmed'>Related, PubMed</a>","<a href='https://scholar.google.com/scholar?q=related:https://pmc.ncbi.nlm.nih.gov/articles/PMC9247823/'>Related, Google Scholar</a>","<a href='https://pubmed.ncbi.nlm.nih.gov/?linkname=pubmed_pubmed_citedin&from_uid=35588732'>Cited By, PMID</a>","<a href='https://scholar.google.com/scholar?hl=en&lr=&cites=https://pmc.ncbi.nlm.nih.gov/articles/PMC9247823/'>Cited By, Google</a>",0.9
"R01MH125370","Department of Psychology, University of Maryland, College Park, Maryland. Electronic address: hyarger@umd.edu.","2022","Yarger, Heather A","United States","1873-2402","11","<a href='https://pubmed.ncbi.nlm.nih.gov/35589314'>Biological psychiatry</a>","Biol Psychiatry","91","eng","e41-e43"," ","35589314","2022 Jun 01","Anxiety-Amygdala Associations: Novel Insights From the First Longitudinal Study of Autistic Youth With Distinct Anxiety.","<a href='https://pubmed.ncbi.nlm.nih.gov/?Db=pubmed&DbFrom=pubmed&Cmd=Link&LinkName=pubmed_pubmed&IdsFromResult=35589314&ordinalpos=1&itool=EntrezSystem2.PEntrez.Pubmed.Pubmed_ResultsPanel.Pubmed_DiscoveryPanel.Pubmed_Discovery_RA&log$=relatedarticles&logdbfrom=pubmed'>Related, PubMed</a>","<a href='https://scholar.google.com/scholar?hl=en&q=Anxiety-Amygdala Associations: Novel Insights From the First Longitudinal Study of Autistic Youth With Distinct Anxiety.'>Related, Google Scholar</a>","<a href='https://pubmed.ncbi.nlm.nih.gov/?linkname=pubmed_pubmed_citedin&from_uid=35589314'>Cited By, PMID</a>"," ",0.17
"K23MH126366","Department of Emergency Medicine, Yale School of Medicine, New Haven, Connecticut, USA.","2022","Evans, Leigh V; Ray, Jessica M; Bonz, James W; Joseph, Melissa; Gerwin, Jeffrey N; Dziura, James D; Venkatesh, Arjun K; Wong, Ambrose H","England","2044-6055","5","<a href='https://pubmed.ncbi.nlm.nih.gov/35589358'>BMJ open</a>","BMJ Open","12","eng","e058980","9121107","35589358","2022 May 19","<a href='https://www.ncbi.nlm.nih.gov/pmc/articles/9121107'>Improving patient and clinician safety during COVID-19 through rapidly adaptive simulation and a randomised controlled trial: a study protocol.</a>","<a href='https://pubmed.ncbi.nlm.nih.gov/?Db=pubmed&DbFrom=pubmed&Cmd=Link&LinkName=pubmed_pubmed&IdsFromResult=35589358&ordinalpos=1&itool=EntrezSystem2.PEntrez.Pubmed.Pubmed_ResultsPanel.Pubmed_DiscoveryPanel.Pubmed_Discovery_RA&log$=relatedarticles&logdbfrom=pubmed'>Related, PubMed</a>","<a href='https://scholar.google.com/scholar?q=related:https://pmc.ncbi.nlm.nih.gov/articles/PMC9121107/'>Related, Google Scholar</a>","<a href='https://pubmed.ncbi.nlm.nih.gov/?linkname=pubmed_pubmed_citedin&from_uid=35589358'>Cited By, PMID</a>","<a href='https://scholar.google.com/scholar?hl=en&lr=&cites=https://pmc.ncbi.nlm.nih.gov/articles/PMC9121107/'>Cited By, Google</a>"," ",
"T32MH109436","Johns Hopkins Bloomberg School of Public Health, Department of Mental Health, 615 N. Wolfe Street, Baltimore, MD, 21205, USA. cfigge1@jh.edu.","2022","Figge, Caleb J; Kane, Jeremy C; Skavenski, Stephanie; Haroz, Emily; Mwenge, Mwamba; Mulemba, Saphira; Aldridge, Luke R; Vinikoor, Michael J; Sharma, Anjali; Inoue, Sachi; Paul, Ravi; Simenda, Francis; Metz, Kristina; Bolton, Carolyn; Kemp, Christopher; Bosomprah, Samuel; Sikazwe, Izukanji; Murray, Laura K","England","1745-6215","1","<a href='https://pubmed.ncbi.nlm.nih.gov/35590348'>Trials</a>","Trials","23","eng","417","9117594","35590348","2022 May 19","<a href='https://www.ncbi.nlm.nih.gov/pmc/articles/9117594'>Comparative effectiveness of in-person vs. remote delivery of the Common Elements Treatment Approach for addressing mental and behavioral health problems among adolescents and young adults in Zambia: protocol of a three-arm randomized controlled trial.</a>","<a href='https://pubmed.ncbi.nlm.nih.gov/?Db=pubmed&DbFrom=pubmed&Cmd=Link&LinkName=pubmed_pubmed&IdsFromResult=35590348&ordinalpos=1&itool=EntrezSystem2.PEntrez.Pubmed.Pubmed_ResultsPanel.Pubmed_DiscoveryPanel.Pubmed_Discovery_RA&log$=relatedarticles&logdbfrom=pubmed'>Related, PubMed</a>","<a href='https://scholar.google.com/scholar?q=related:https://pmc.ncbi.nlm.nih.gov/articles/PMC9117594/'>Related, Google Scholar</a>","<a href='https://pubmed.ncbi.nlm.nih.gov/?linkname=pubmed_pubmed_citedin&from_uid=35590348'>Cited By, PMID</a>","<a href='https://scholar.google.com/scholar?hl=en&lr=&cites=https://pmc.ncbi.nlm.nih.gov/articles/PMC9117594/'>Cited By, Google</a>",0.7
"R25MH129791","Department of Biological and Biomedical Sciences, North Carolina Central University, Durham, North Carolina, USA.","2022","Cole, Gregory J; Marshall, S Alex","United States","1097-4547","8","<a href='https://pubmed.ncbi.nlm.nih.gov/35591807'>Journal of neuroscience research</a>","J Neurosci Res","100","eng","1527-1528","9543417","35591807","2022 Aug","<a href='https://www.ncbi.nlm.nih.gov/pmc/articles/9543417'>Highlighting the contributions of Minority Serving Institutions to neuroscience.</a>","<a href='https://pubmed.ncbi.nlm.nih.gov/?Db=pubmed&DbFrom=pubmed&Cmd=Link&LinkName=pubmed_pubmed&IdsFromResult=35591807&ordinalpos=1&itool=EntrezSystem2.PEntrez.Pubmed.Pubmed_ResultsPanel.Pubmed_DiscoveryPanel.Pubmed_Discovery_RA&log$=relatedarticles&logdbfrom=pubmed'>Related, PubMed</a>","<a href='https://scholar.google.com/scholar?q=related:https://pmc.ncbi.nlm.nih.gov/articles/PMC9543417/'>Related, Google Scholar</a>","<a href='https://pubmed.ncbi.nlm.nih.gov/?linkname=pubmed_pubmed_citedin&from_uid=35591807'>Cited By, PMID</a>","<a href='https://scholar.google.com/scholar?hl=en&lr=&cites=https://pmc.ncbi.nlm.nih.gov/articles/PMC9543417/'>Cited By, Google</a>",0.33
"R01MH100027","McKusick-Nathans Institute, Department of Genetic Medicine, Johns Hopkins University School of Medicine, Baltimore, MD, USA.","2022","Battle, Stephanie L; Puiu, Daniela; TOPMed mtDNA Working Group; Verlouw, Joost; Broer, Linda; Boerwinkle, Eric; Taylor, Kent D; Rotter, Jerome I; Rich, Stephan S; Grove, Megan L; Pankratz, Nathan; Fetterman, Jessica L; Liu, Chunyu; Arking, Dan E","England","2631-9268","2","<a href='https://pubmed.ncbi.nlm.nih.gov/35591888'>NAR genomics and bioinformatics</a>","NAR Genom Bioinform","4","eng","lqac034","9112767","35591888","2022 Jun","<a href='https://www.ncbi.nlm.nih.gov/pmc/articles/9112767'>A bioinformatics pipeline for estimating mitochondrial DNA copy number and heteroplasmy levels from whole genome sequencing data.</a>","<a href='https://pubmed.ncbi.nlm.nih.gov/?Db=pubmed&DbFrom=pubmed&Cmd=Link&LinkName=pubmed_pubmed&IdsFromResult=35591888&ordinalpos=1&itool=EntrezSystem2.PEntrez.Pubmed.Pubmed_ResultsPanel.Pubmed_DiscoveryPanel.Pubmed_Discovery_RA&log$=relatedarticles&logdbfrom=pubmed'>Related, PubMed</a>","<a href='https://scholar.google.com/scholar?q=related:https://pmc.ncbi.nlm.nih.gov/articles/PMC9112767/'>Related, Google Scholar</a>","<a href='https://pubmed.ncbi.nlm.nih.gov/?linkname=pubmed_pubmed_citedin&from_uid=35591888'>Cited By, PMID</a>","<a href='https://scholar.google.com/scholar?hl=en&lr=&cites=https://pmc.ncbi.nlm.nih.gov/articles/PMC9112767/'>Cited By, Google</a>",2.43
"R01MH120314","Department of Child and Adolescent Psychiatry, Hassenfeld Children's Hospital at NYU Langone, New York City, New York, USA.","2022","Stein, Cheryl R; Sheridan, Margaret A; Copeland, William E; Machlin, Laura S; Carpenter, Kimberly L H; Egger, Helen L","United States","1520-6394","6","<a href='https://pubmed.ncbi.nlm.nih.gov/35593083'>Depression and anxiety</a>","Depress Anxiety","39","eng","524-535","9246999","35593083","2022 Jun","<a href='https://www.ncbi.nlm.nih.gov/pmc/articles/9246999'>Association of adversity with psychopathology in early childhood: Dimensional and cumulative approaches.</a>","<a href='https://pubmed.ncbi.nlm.nih.gov/?Db=pubmed&DbFrom=pubmed&Cmd=Link&LinkName=pubmed_pubmed&IdsFromResult=35593083&ordinalpos=1&itool=EntrezSystem2.PEntrez.Pubmed.Pubmed_ResultsPanel.Pubmed_DiscoveryPanel.Pubmed_Discovery_RA&log$=relatedarticles&logdbfrom=pubmed'>Related, PubMed</a>","<a href='https://scholar.google.com/scholar?q=related:https://pmc.ncbi.nlm.nih.gov/articles/PMC9246999/'>Related, Google Scholar</a>","<a href='https://pubmed.ncbi.nlm.nih.gov/?linkname=pubmed_pubmed_citedin&from_uid=35593083'>Cited By, PMID</a>","<a href='https://scholar.google.com/scholar?hl=en&lr=&cites=https://pmc.ncbi.nlm.nih.gov/articles/PMC9246999/'>Cited By, Google</a>",1.51
"R01MH123575","Semel Institute for Neuroscience and Human Behavior, University of California, Los Angeles, USA. Electronic address: mjweintraub@mednet.ucla.edu.","2022","Weintraub, Marc J; Ichinose, Megan C; Zinberg, Jamie; Done, Monica; Morgan-Fleming, Georga M; Wilkerson, Catherine A; Brown, Robin D; Bearden, Carrie E; Miklowitz, David J","Netherlands","1573-2517"," ","<a href='https://pubmed.ncbi.nlm.nih.gov/35594972'>Journal of affective disorders</a>","J Affect Disord","311","eng","319-326","9728252","35594972","2022 Aug 15","<a href='https://www.ncbi.nlm.nih.gov/pmc/articles/9728252'>App-enhanced transdiagnostic CBT for adolescents with mood or psychotic spectrum disorders.</a>","<a href='https://pubmed.ncbi.nlm.nih.gov/?Db=pubmed&DbFrom=pubmed&Cmd=Link&LinkName=pubmed_pubmed&IdsFromResult=35594972&ordinalpos=1&itool=EntrezSystem2.PEntrez.Pubmed.Pubmed_ResultsPanel.Pubmed_DiscoveryPanel.Pubmed_Discovery_RA&log$=relatedarticles&logdbfrom=pubmed'>Related, PubMed</a>","<a href='https://scholar.google.com/scholar?q=related:https://pmc.ncbi.nlm.nih.gov/articles/PMC9728252/'>Related, Google Scholar</a>","<a href='https://pubmed.ncbi.nlm.nih.gov/?linkname=pubmed_pubmed_citedin&from_uid=35594972'>Cited By, PMID</a>","<a href='https://scholar.google.com/scholar?hl=en&lr=&cites=https://pmc.ncbi.nlm.nih.gov/articles/PMC9728252/'>Cited By, Google</a>",2.12
